sentence_id,anchor_text,link_type
beverlyhillscop_sentence_0000004,community portal,internal
beverlyhillscop_sentence_0000001,"

",other
beverlyhillscop_sentence_0000001,Eddie Murphy,internal
beverlyhillscop_sentence_0000003,Axel Foley,internal
beverlyhillscop_sentence_0000003,Eddie Murphy,internal
beverlyhillscop_sentence_0000003,Beverly Hills,internal
beverlyhillscop_sentence_0000004,Beverly Hills Police Department,internal
beverlyhillscop_sentence_0000004,Billy Rosewood,internal
beverlyhillscop_sentence_0000004,Judge Reinhold,internal
beverlyhillscop_sentence_0000004,John Taggart,internal
beverlyhillscop_sentence_0000004,John Ashton,internal
beverlyhillscop_sentence_0000005,Beverly Hills Cop,internal
beverlyhillscop_sentence_0000008,Beverly Hills Cop: Axel F,internal
beverlyhillscop_sentence_0000009,Detroit,internal
beverlyhillscop_sentence_0000009,Axel Foley,internal
beverlyhillscop_sentence_0000009,Eddie Murphy,internal
beverlyhillscop_sentence_0000009,Beverly Hills,internal
beverlyhillscop_sentence_0000010,Jenny Summers,internal
beverlyhillscop_sentence_0000010,Lisa Eilbacher,internal
beverlyhillscop_sentence_0000010,Victor Maitland,internal
beverlyhillscop_sentence_0000010,Steven Berkoff,internal
beverlyhillscop_sentence_0000011,Lt. Bogomil,internal
beverlyhillscop_sentence_0000012,Lt. Bogomil,internal
beverlyhillscop_sentence_0000012,Ronny Cox,internal
beverlyhillscop_sentence_0000012,Beverly Hills Police Department,internal
beverlyhillscop_sentence_0000016,Eddie Murphy,internal
beverlyhillscop_sentence_0000017,Beverly Hills,internal
beverlyhillscop_sentence_0000017,Foley,internal
beverlyhillscop_sentence_0000017,Billy Rosewood,internal
beverlyhillscop_sentence_0000017,Judge Reinhold,internal
beverlyhillscop_sentence_0000018,Jon Flint,internal
beverlyhillscop_sentence_0000018,Héctor Elizondo,internal
beverlyhillscop_sentence_0000018,Orrin Sanderson,internal
beverlyhillscop_sentence_0000019,Axel Foley,internal
beverlyhillscop_sentence_0000019,Eddie Murphy,internal
beverlyhillscop_sentence_0000019,Beverly Hills,internal
beverlyhillscop_sentence_0000020,Billy Rosewood,internal
beverlyhillscop_sentence_0000020,Judge Reinhold,internal
beverlyhillscop_sentence_0000020,John Taggart,internal
beverlyhillscop_sentence_0000020,John Ashton,internal
beverlyhillscop_sentence_0000001,"

",other
beverlyhillscop_sentence_0000001,Serge,internal
beverlyhillscop_sentence_0000001,Jeffrey,internal
beverlyhillscop_sentence_0000001,Detroit,internal
beverlyhillscop_sentence_0000001,Michigan,internal
beverlyhillscop_sentence_0000001,USA,internal
beverlyhillscop_sentence_0000001,Detroit Police Department,internal
beverlyhillscop_sentence_0000001,Beverly Hills Police Department,internal
beverlyhillscop_sentence_0000003,Jane Saunders,internal
beverlyhillscop_sentence_0000003,Eddie Murphy,internal
beverlyhillscop_sentence_0000005,Eddie Murphy,internal
beverlyhillscop_sentence_0000005,Beverly Hills Cop,internal
beverlyhillscop_sentence_0000009,Inspector Todd,internal
beverlyhillscop_sentence_0000010,"Michael ""Mikey"" Tandino",internal
beverlyhillscop_sentence_0000012,Zack,internal
beverlyhillscop_sentence_0000013,Andrew Bogomil,internal
